latitude;longitude;local;fonte;descricao;categoria
41.1494082;-8.6005399;Soeiro Pharmacy;poi_portodigital;;
41.1640541;-8.6013518;Silva Pereira Suc. Pharmacy;poi_portodigital;;
41.1722689;-8.6666898;Melo Taveira Pharmacy;poi_portodigital;;
41.1662898;-8.6204683;Serpa Pinto Pharmacy;poi_portodigital;;
41.1487146;-8.597952;Bonfim Pharmacy;poi_portodigital;;
41.1652911;-8.572019;Dinis Pharmacy;poi_portodigital;;
41.15059483;-8.65091801;Valdrez Pharmacy;poi_portodigital;;
41.18367653;-8.61343145;Amial Pharmacy;poi_portodigital;;
41.1713884;-8.659044;Lidador Pharmacy;poi_portodigital;;
41.1733937;-8.6552701;Pereiro Pharmacy;poi_portodigital;;
41.1459318;-8.6119076;Vitália Pharmacy;poi_portodigital;This pharmacy was founded in 1933. Located in the city centre of Porto, draws the attention of those who pass by due to the giant cross that bears on the building’s façade. It has a very singular and characteristic facade, designed by architects. Apart from selling all kinds of medicines, it is also a source of attraction for many photographs.;
41.1766043;-8.6282313;Monte dos Burgos Pharmacy;poi_portodigital;;
41.1469755;-8.60175848;Padrão Pharmacy;poi_portodigital;;
41.1551266;-8.6134073;Campo Pharmacy;poi_portodigital;;
41.15397161;-8.64821434;Vasques Pharmacy;poi_portodigital;;
41.17682896;-8.58538628;Vaz Pharmacy;poi_portodigital;;
41.1620075;-8.6515573;Pinheiro Manso Pharmacy;poi_portodigital;;
41.14704014;-8.58995676;Vaz Teixeira Suc. Pharmacy;poi_portodigital;;
41.1632872;-8.5727914;Vitória Pharmacy;poi_portodigital;;
41.1662611;-8.6490729;Lago Pharmacy;poi_portodigital;;
41.15455324;-8.67486477;Foz do Douro Cemetery;poi_portodigital;Cemetery built in 1887 and managed by the Foz do Douro Civil Parish.;
41.16721854;-8.66368532;Aldoar Cemetery;poi_portodigital;With a typical English feel, it has a vast gardened area, and was the last cemetery in the city to be built. The Parish Council seeks, as much as possible, to make it a  light  and “welcoming  space within the respect and piety that is due at that location.;
41.16790908;-8.64857376;Ramalde Cemetery ;poi_portodigital;Cemetery built in 1862 and enlarged in 1989, under the management of the Ramalde Civil Parish.;
41.14582827;-8.59555721;Prado do Repouso Cemetery;poi_portodigital;"Opened in 1839 as the first public cemetery in Porto, it is considered a true  museum of death .
 
The Porto s funerary art is unique and its main features are the neo-Gothic dominance, the use of granite and monumentality, especially the chapel-tombs. 

Of the numerous monuments of historical and artistic value, we highlight, for example, the chapel of the cemetery  in fact, what remains from the unfinished Church of St. Victor , the ossuary of the former nuns Convent of St. Benedict s of Hail Mary and its former cross  the cross from the graveyard itself, with an iron Christ, as well as remarkable tombs and mausoleums of personalities from various fields.


November 1st and 2nd: 8:30am-6pm";
41.15635464;-8.646776674;Lordelo do Ouro Cemetery;poi_portodigital;Cemetery built in 1872 and managed by the Lordelo do Ouro Civil Parish.;
41.1625961;-8.6663824;Aviz Pharmacy;poi_portodigital;;
41.15495714;-8.57409954;Campanhã Cemetery;poi_portodigital;Cemetery built in 1867 and managed by the Campanhã Civil Parish.;
41.14962;-8.604527;Porto Gran Plaza Parking;poi_portodigital;Private park located in the centre of the city, by the Porto Gran Plaza Shopping Centre. 15 min fraction until 0,50€, according to the parking length of time.;
41.15665352;-8.6316061;Agramonte  Cemetery;poi_portodigital;"Cemetery with several monuments of great value, highlighting its chapel, whose construction took place between 1870 and 1874, through a project by Eng. Gustavo Adolfo Gonçalves e Sousa.

The presbytery was later increased in 1906 under the management of Marques da Silva, which was when the byzantine inspired paintings by Silvestro Silvestri were made.

Highlight goes to the various mausoleums which have sculptures by Soares dos Reis, António Teixeira Lopes and Alves Pinto.

In the municipal sections there are various art personalities from Porto who have been buried here, such as the painter António Carneiro, the violinist Guillermina Suggia, the photographer Emílio Biel or Tomás Soller.


November 1st and 2nd: 8:30am to 6pm";
41.15738052;-8.61235857;Lapa Cemetery;poi_portodigital;"Considered the oldest  modern  cemetery in Porto, it was initially blessed in 1838 and the first monuments arose in 1839.
The entire lateral section  west and east  is worth a special mention as it is unique in the country, both in terms of architecture but also in terms of greatness, thanks to the presence of sole elite Porto figures from the 19th century  big businessmen, proprietors but also many Brazilians with a noble title .
Some famous 19th century writers are buried here, such as the romantic poet Soares de Passos, the novelists Arnaldo Gama and Camilo Castelo Branco and the poet Maria da Felicidade Couto Browne.";
41.1738733;-8.60160828;Paranhos Cemetery;poi_portodigital;"Located in the former “Bouças do Agrello”, it was built in 1879 and doubled in size in 1910. 
In recent times, in addition to the extensions, mortuaries were built for the non-catholic population.
Buried in this cemetery we have the Blessed Mary of the Divine Heart, born in Germany and that came to Portugal in 1894, and who was sent to Porto as the Mother Superior of the city House of the Congregation.
";
41.16578089;-8.67164612;Parque da Cidade  City Park - south entrance  parking;poi_portodigital;Free municipal car park located at the southern entrance of the City Park. ;
41.15002932;-8.62392426;British Cemetery;poi_portodigital;"Private Porto cemetery which represents a more romantic environment.
Small tombstones hidden by ivy and large trees give it a sober and strongly melancholy gloom.
From 1820, the first open air perpetual funeral monuments were erected.
In this cemetery there are graves belonging to British families linked to Port Wine, but also German families and families from other nationalities. Highlights go to the mausoleum of Count Moser, the Consulate John Whitehead, founder of the cemetery, and which occupies a central position within the area, and also the Baron of Forrester.
As it is closed to the public, you must ring the bell, preferably from 9 a.m. to 4 p.m.";
41.17135361;-8.67902756;Parque da Cidade Parking  Entrada Norte  ;poi_portodigital;Free municipal car park located at the northern entrance of the City Park.;
41.15135422;-8.59360456;Bonfim Cemetery;poi_portodigital;"Private Cemetery of the Brotherhood of Our Lady of the Blessed Sacrament and Our Lady of Bonfim da Boa Hora, established in 1849/50 next to the corresponding church.

Of the existing private catholic cemeteries, the Lapa and Bonfim ones have maintained their own location because, even though they are not public, they were already cemeteries with modern urban conceptions in elevated areas and at a reasonable distance from houses.

In the cemetery, north of the church, there are two granite crosses, placed there in 1869. One of them is perhaps from the 15th century and represents the Lord of Consolation. The other seems like it comes from the 17th century and has the particularity of having the Crucified with feet apart and not overlapping.";
41.105672381;-8.552218785;MGC Transportes;poi_portodigital;Departures next to Praça da Batalha to destinations in Vila Nova de Gaia and in to south of Porto.;
41.212162669;-8.418533039;Albano Esteves Martins;poi_portodigital;Departures next to Rua Gonçalo Cristóvão to destinations in the Porto Metropolitan Area.;
41.14607872;-8.61763447;Autna;poi_portodigital;If you want to travel to or from Porto by bus, Autna brings you the best option. We offer a professional, comfortable and reliable service, as well as cheap bus tickets to Porto. Regardless of your itinerary and timetable, there is an Autna bus for you.;
41.23447601;-8.60834062;A. Nogueira da Costa;poi_portodigital;Departures nex to to Campo Mártires da Pátria  Cordoaria Garden  to destinations in the Porto metropolitan area.;
41.16282473;-8.66194725;Oceanus Parking ;poi_portodigital;Oceanus Shopping Centre private car park in Avenida da Boavista, with 300 parking spots. 45 min fraction up to 0,80€, according to the parking length of time.;
41.149345153;-8.599378695;Internorte;poi_portodigital;Departures from Interface Casa da Música to international destinations  Agents Internorte and Eurolines .;
41.1440492;-8.6049493;Auto Viação Souto;poi_portodigital;Departures next to Praça da Batalha to destinations in the south of Porto.;
41.15444244;-8.6087553;Auto Viação Pacense;poi_portodigital;Departures next to the Porto City Hall to destinations in Porto’s Metropolitan Area and to the Northern area.;
