latitude;longitude;local;temperatura;humidade;vento;co;no2;so2;aqi;nivel_ar;fonte
41.269;-8.6308;Anta;13.52;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2589;-8.5806;Silva Escura;13.62;0.58;8.23;0;0;0;0;moderate;qualidade_ar
41.2669;-8.6354;Gemunde;13.64;0.58;8.23;0;0;0;0;moderate;qualidade_ar
41.2428;-8.6058;Vermoim;13.92;0.58;8.23;0;0;0;0;moderate;qualidade_ar
41.2405;-8.5872;Nogueira;13.86;0.58;8.23;0;0;0;0;moderate;qualidade_ar
41.2422;-8.6342;Godim;13.78;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2436;-8.6545;Moreira;13.95;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.218;-8.5886;Milheirós;13.86;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2498;-8.6362;Guarda;13.68;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2476;-8.6488;Padrão;13.86;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2523;-8.6587;Lidador;13.73;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2614;-8.6167;Castelo da Maia;13.66;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2775;-8.6177;São Pedro de Avioso;13.67;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2775;-8.5255;Vilar de Luz;13.13;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.1894;-8.5874;Pedrouços;13.45;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2192;-8.5978;Gueifães;13.99;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2546;-8.6685;Vila Nova da Telha;13.88;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2029;-8.5616;Granja;13.54;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2046;-8.5967;Parada;14.06;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2437;-8.6786;Aeroporto;13.96;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2339;-8.6229;Forum da Maia;13.69;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.246;-8.5509;São Pedro de Fins;13.65;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.273;-8.533;Folgosa;13.39;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2684;-8.617;Univ. Maia;13.69;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2446;-8.644;Real;13.88;0.67;8.23;0;0;0;0;moderate;qualidade_ar
41.2355;-8.6584;Crestins;13.86;0.67;8.23;0;0;0;0;moderate;qualidade_ar
