latitude;longitude;local;tipo;estado;fonte
41.209033;-8.688316;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.166771;-8.687808;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.177032;-8.594631;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.217686;-8.674649;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.164232;-8.662371;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.177916;-8.609208;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.145798;-8.614252;Bolt;bicycle;parked;veiculos_porto
41.164313;-8.686364;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.177954;-8.609176;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.156109;-8.663837;Bolt;bicycle;broken;veiculos_porto
41.142326;-8.615292;Bolt;bicycle;parked;veiculos_porto
41.177084;-8.594528;Bolt;bicycle;parked;veiculos_porto
40.983809;-8.535868;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.195714;-8.659923;Bolt;bicycle;parked;veiculos_porto
41.196856;-8.709885;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.149299;-8.611527;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.205638;-8.693036;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.149465;-8.675902;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.177171;-8.591848;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.153595;-8.605499;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.140864;-8.617441;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.205628;-8.693057;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.143717;-8.612949;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.178002;-8.609174;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.145924;-8.614295;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.155595;-8.630023;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147219;-8.656852;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147447;-8.667524;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.152479;-8.647538;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.172668;-8.667754;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.189723;-8.59821;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.158703;-8.631627;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.177218;-8.590397;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.180851;-8.6141;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.178955;-8.599936;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.148396;-8.598947;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.160173;-8.643992;Bolt;bicycle;parked;veiculos_porto
41.161691;-8.611749;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.156081;-8.663819;Bolt;bicycle;parked;veiculos_porto
41.187446;-8.634426;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.146196;-8.607172;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.174853;-8.599018;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.156778;-8.604639;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.208284;-8.621863;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.148225;-8.586132;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147602;-8.671568;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.164154;-8.673883;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.14745;-8.667397;Bolt;twoWheeledVehicle;parked;veiculos_porto
